date,timestamp,hr_value
2026-02-24,1771923480000,86
2026-02-24,1771923600000,87
2026-02-24,1771923720000,88
2026-02-24,1771923840000,88
2026-02-24,1771923960000,89
2026-02-24,1771924080000,89
2026-02-24,1771924200000,89
2026-02-24,1771924320000,90
2026-02-24,1771924440000,92
2026-02-24,1771924560000,83
2026-02-24,1771924680000,83
2026-02-24,1771924800000,86
2026-02-24,1771924920000,84
2026-02-25,1771980360000,81
2026-02-25,1771980480000,79
2026-02-25,1771980600000,78
2026-02-25,1771980720000,92
2026-02-25,1771980840000,83
2026-02-25,1771980960000,80
2026-02-25,1771981080000,78
2026-02-25,1771981200000,78
2026-02-25,1771981320000,78
2026-02-25,1771981440000,79
2026-02-25,1771981560000,80
2026-02-25,1771981680000,77
2026-02-25,1771981800000,76
2026-02-25,1771981920000,76
2026-02-25,1771982040000,76
2026-02-25,1771982160000,76
2026-02-25,1771982280000,75
2026-02-25,1771982400000,75
2026-02-25,1771982520000,75
2026-02-25,1771982640000,76
2026-02-25,1771982760000,76
2026-02-25,1771982880000,75
2026-02-25,1771983000000,74
2026-02-25,1771983120000,74
2026-02-25,1771983240000,75
2026-02-25,1771983360000,75
2026-02-25,1771983480000,75
2026-02-25,1771983600000,75
2026-02-25,1771983720000,75
2026-02-25,1771983840000,74
2026-02-25,1771983960000,75
2026-02-25,1771984080000,74
2026-02-25,1771984200000,74
2026-02-25,1771984320000,74
2026-02-25,1771984440000,75
2026-02-25,1771984560000,78
2026-02-25,1771984680000,79
2026-02-25,1771984800000,77
2026-02-25,1771984920000,75
2026-02-25,1771985040000,78
2026-02-25,1771985160000,78
2026-02-25,1771985280000,76
2026-02-25,1771985400000,76
2026-02-25,1771985520000,76
2026-02-25,1771985640000,77
2026-02-25,1771985760000,74
2026-02-25,1771985880000,78
2026-02-25,1771986000000,77
2026-02-25,1771986120000,75
2026-02-25,1771986240000,80
2026-02-25,1771986360000,76
2026-02-25,1771986480000,76
2026-02-25,1771986600000,73
2026-02-25,1771986720000,75
2026-02-25,1771986840000,74
2026-02-25,1771986960000,73
2026-02-25,1771987080000,73
2026-02-25,1771987200000,74
2026-02-25,1771987320000,72
2026-02-25,1771987440000,72
2026-02-25,1771987560000,73
2026-02-25,1771987680000,72
2026-02-25,1771987800000,71
2026-02-25,1771987920000,71
2026-02-25,1771988040000,71
2026-02-25,1771988160000,70
2026-02-25,1771988280000,70
2026-02-25,1771988400000,70
2026-02-25,1771988520000,70
2026-02-25,1771988640000,71
2026-02-25,1771988760000,70
2026-02-25,1771988880000,70
2026-02-25,1771989000000,68
2026-02-25,1771989120000,69
2026-02-25,1771989240000,70
2026-02-25,1771989360000,72
2026-02-25,1771989480000,76
